dataset_key,model,test_id,repeats,n_eval_mean,n_ok_mean,fail_rate_mean,changed_rate_mean,sim_mean,inv_mean,drop_acc_mean,drop_acc_std,time_mean,time_std,peak_mb_mean,peak_mb_std,asr_mean,asr_std
emotion,hf_distilbert,textattack_textfooler,5,10.0,8.6,0.14,1.0,0.9042954831095154,,1.0,0.0,7.605303600000001,2.5538546888061777,86.554,193.42883990760012,1.0,0.0
emotion,sk_tfidf_lr,textattack_textfooler,5,40.0,33.6,0.16,0.9708068362480127,0.889252856189233,,0.9708068362480127,0.029291375068187995,46.3836036,7.507747485926373,53.867399999999996,119.506827320869,0.9708068362480127,0.029291375068187995
imdb,hf_distilbert,textattack_textfooler,5,10.0,9.4,0.06000000000000001,0.37777777777777777,0.9565065396433041,,0.35777777777777775,0.12871635962288516,34.3083456,2.816971356207109,37.2048,82.66238516520075,0.37777777777777777,0.16024672335395507
imdb,sk_tfidf_lr,textattack_textfooler,5,40.0,34.4,0.13999999999999999,0.22979928457869633,0.9816186883793995,,0.2297992845786963,0.06621306553681995,124.8826774,5.2951258093194316,0.043,0.059257910864288825,0.22979928457869633,0.06621306553681996
sst2,hf_distilbert,textattack_textfooler,5,10.0,9.0,0.1,0.9327777777777777,0.8914836780947597,,0.9327777777777777,0.06200109517153012,12.5646254,3.058248255171054,73.5648,164.48918538068088,0.9327777777777777,0.06200109517153012
sst2,sk_tfidf_lr,textattack_textfooler,5,40.0,32.4,0.19,0.8895248568635665,0.8730836854399675,,0.8895248568635665,0.0316131835518797,71.835858,10.418948259672112,168.5466,376.50659682308356,0.8895248568635665,0.03161318355187973
