dataset_key,model,test_id,repeats,n_eval_mean,n_ok_mean,fail_rate_mean,changed_rate_mean,sim_mean,inv_mean,drop_acc_mean,drop_acc_std,time_mean,time_std,peak_mb_mean,peak_mb_std
emotion,hf_distilbert,checklist_typos,5,400.0,400.0,0.0,0.9654999999999999,0.9849698255658733,0.909,0.06299999999999992,0.013038404810405337,0.6035316,0.031468925900004864,0.0,0.0
emotion,sk_tfidf_lr,checklist_typos,5,400.0,400.0,0.0,0.9654999999999999,0.9849698255658733,0.9019999999999999,0.05749999999999996,0.014469796128487795,0.0219692,0.001678135930132001,0.0,0.0
imdb,hf_distilbert,checklist_typos,5,400.0,400.0,0.0,0.9814999999999999,0.9970756932209323,0.9905000000000002,0.00549999999999994,0.005419870847169649,2.9937464,0.0673686127124495,0.0,0.0
imdb,sk_tfidf_lr,checklist_typos,5,400.0,400.0,0.0,0.9814999999999999,0.9970756932209323,0.993,-0.00100000000000002,0.004873397172404464,0.1628724,0.03907557643592735,0.0,0.0
sst2,hf_distilbert,checklist_typos,5,400.0,400.0,0.0,0.9754999999999999,0.9874457549809021,0.9504999999999999,0.01749999999999998,0.004999999999999976,0.5180313999999999,0.015258983101766623,0.0,0.0
sst2,sk_tfidf_lr,checklist_typos,5,400.0,400.0,0.0,0.9754999999999999,0.9874457549809021,0.9465,0.0155,0.013157697366940705,0.0249504,0.0060086172119714855,0.0,0.0
