model,n_eval_mean,fail_rate_mean,fail_rate_std,drop_acc_mean,drop_acc_std,drop_f1_mean,drop_f1_std,time_mean,time_std,peak_mb_mean,peak_mb_std,asr_mean,asr_std,tool
DistilBERT,400.0,0.0,0.0,0.21845833333333328,0.011001387300215671,0.29558587799458347,0.016925787935770115,2.2490043666666666,0.08869314838928434,0.5629166666666666,1.9590035757643658,,,AugLy
TF-IDF + LR,400.0,0.0,0.0,0.2991249999999999,0.008782060884935675,0.43191761435644643,0.010511941940535556,0.15358401666666666,0.05695439930931193,0.08266666666666665,0.5820149829780138,,,AugLy
DistilBERT,400.0,0.0,0.0,0.028666666666666566,0.004524641849053314,0.0286926693311086,0.007695840676399049,1.3717698,0.02666759349509041,0.0,0.0,,,CheckList
TF-IDF + LR,400.0,0.0,0.0,0.023999999999999966,0.005203237866904991,0.02134587849308643,0.009945556200244845,0.06993066666666667,0.02045623546678625,0.0,0.0,,,CheckList
DistilBERT,10.0,0.10000000000000002,0.04000000000000001,0.7635185185185184,0.06437256603534777,0.74999518999519,0.07751733390896093,18.15942486666667,0.2522755743322861,65.77453333333334,57.449015561396614,0.7701851851851851,0.08080362162377315,TextAttack
TF-IDF + LR,40.0,0.1633333333333333,0.025166114784235877,0.6967103258967585,0.020679111260191216,0.7146719196918481,0.031025607412981902,81.03404633333334,2.569835958823923,74.15233333333335,192.3664915104502,0.6967103258967585,0.020679111260191216,TextAttack
