run_id,seed,repeat_id,dataset_key,dataset_hf_id,hf_model_name,n_labels,f1_avg,dataset,eval_size,model,tool,test_id,n_eval,n_ok,fail_rate,changed_rate,avg_similarity,invariance_rate,acc,f1,acc_clean,f1_clean,drop_acc,drop_f1,time_sec,peak_rss_mb,attack_success_rate,notes
2026-01-09_18-58,44,3,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_punct,400,400,0.0,1.0,0.29966602688905153,0.4925,0.5025,0.009950248756218905,0.91,0.9104477611940298,0.4075000000000001,0.900497512437811,2.831651,0.023,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,45,4,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_punct,400,400,0.0,1.0,0.3101418575268909,0.5475,0.5075,0.6733001658374793,0.815,0.8246445497630331,0.3075,0.15134438392555383,0.025786,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,45,4,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_punct,400,400,0.0,1.0,0.3101418575268909,0.4625,0.4925,0.00975609756097561,0.905,0.9090909090909091,0.41250000000000003,0.8993348115299334,2.776226,0.02,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,46,5,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_punct,400,400,0.0,1.0,0.31530210642865064,0.535,0.49,0.6577181208053692,0.81,0.8146341463414634,0.32000000000000006,0.15691602553609418,0.033967,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,46,5,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_punct,400,400,0.0,1.0,0.31530210642865064,0.4825,0.5075,0.010050251256281407,0.905,0.905940594059406,0.3975000000000001,0.8958903428031245,3.237314,0.234,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,42,1,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_zwsp,400,400,0.0,1.0,0.36563643113044964,0.55,0.51,0.6754966887417219,0.81,0.8207547169811321,0.30000000000000004,0.14525802823941025,0.104692,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,42,1,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_zwsp,400,400,0.0,1.0,0.36563643113044964,1.0,0.915,0.9182692307692307,0.915,0.9182692307692307,0.0,0.0,0.787762,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,43,2,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_zwsp,400,400,0.0,1.0,0.38917248328072857,0.55,0.4975,0.664440734557596,0.7925,0.801909307875895,0.295,0.13746857331829898,0.028332,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,43,2,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_zwsp,400,400,0.0,1.0,0.38917248328072857,1.0,0.89,0.8926829268292683,0.89,0.8926829268292683,0.0,0.0,0.591693,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,44,3,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_zwsp,400,400,0.0,1.0,0.37177177640756864,0.5425,0.4975,0.664440734557596,0.79,0.7980769230769231,0.29250000000000004,0.13363618851932713,0.0691,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,44,3,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_zwsp,400,400,0.0,1.0,0.37177177640756864,1.0,0.91,0.9104477611940298,0.91,0.9104477611940298,0.0,0.0,0.535845,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,45,4,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_zwsp,400,400,0.0,1.0,0.38563657098635606,0.5475,0.5075,0.6733001658374793,0.815,0.8246445497630331,0.3075,0.15134438392555383,0.016958,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,45,4,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_zwsp,400,400,0.0,1.0,0.38563657098635606,1.0,0.905,0.9090909090909091,0.905,0.9090909090909091,0.0,0.0,0.497025,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,46,5,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_insert_zwsp,400,400,0.0,1.0,0.38970006154410164,0.535,0.49,0.6577181208053692,0.81,0.8146341463414634,0.32000000000000006,0.15691602553609418,0.017425,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,46,5,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_insert_zwsp,400,400,0.0,1.0,0.38970006154410164,1.0,0.905,0.905940594059406,0.905,0.905940594059406,0.0,0.0,0.509851,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,42,1,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_unicode,400,400,0.0,1.0,0.8407198957428673,0.8425,0.7725,0.7838479809976246,0.81,0.8207547169811321,0.03750000000000009,0.036906735983507466,0.143358,0.066,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,42,1,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_unicode,400,400,0.0,1.0,0.8407198957428673,0.8025,0.8075,0.7855153203342619,0.915,0.9182692307692307,0.10750000000000004,0.13275391043496887,0.653552,0.066,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,43,2,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_unicode,400,400,0.0,1.0,0.8371913882627368,0.8475,0.725,0.7393364928909952,0.7925,0.801909307875895,0.0675,0.06257281498489975,0.120294,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,43,2,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_unicode,400,400,0.0,1.0,0.8371913882627368,0.8,0.81,0.7923497267759563,0.89,0.8926829268292683,0.07999999999999996,0.10033320005331203,0.601053,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
2026-01-09_18-58,44,3,sst2,glue/sst2,,2,binary,glue/sst2,400,sk_tfidf_lr,augly,augly_unicode,400,400,0.0,1.0,0.8350397044562432,0.8275,0.7225,0.7400468384074942,0.79,0.7980769230769231,0.0675,0.05803008466942894,0.120137,0.0,,peak_delta_mb; gen+sk_time; n_ok=400
2026-01-09_18-58,44,3,sst2,glue/sst2,distilbert-base-uncased-finetuned-sst-2-english,2,binary,glue/sst2,400,hf_distilbert,augly,augly_unicode,400,400,0.0,1.0,0.8350397044562432,0.8175,0.8125,0.7910863509749304,0.91,0.9104477611940298,0.09750000000000003,0.1193614102190994,0.625689,0.0,,peak_delta_mb; gen+hf_time; batch_size=32; max_length=256
